organization	Valmiera drāma teātris
organization	Daugavpils teātris
organization	Latvija vēsture muzejs
organization	Rīga vēsture un kuģniecība muzejs
organization	Rainis Literatūra un māksla vēsture muzejs
organization	Rīga Kino muzejs
organization	Latvija Etnogrāfisks brīvdabas muzejs
organization	Rundāle pils muzejs
organization	Turaida muzejrezervāts
organization	VSIA " NĪ "
organization	VU " Rīga Cirks "
organization	Rīga Cirks
organization	Valsts Māksla muzejs
organization	Ārzemes māksla muzejs
organization	Dekoratīvi lietišķa māksla muzejs
organization	Latvija Kultūra muzejs " Dauderi "
organization	VSIA " Kremerata Baltica "
organization	Kremerata Baltica
organization	Valsts Tiesa medicīna ekspertīze centrs
organization	AIDS Profilakse centrs
organization	Nacionāls vide veselība centrs
organization	Valsts asinsdonors centrs
organization	Medicīniska aprūpe un darbspēja ekspertīze kvalitāte kontrole inspekcija
organization	Veselība un darbspēja ekspertīze ārsts valsts komisija
organization	Valsts ģimene veselība centrs
organization	Katastrofa medicīna centrs
organization	Valsts sanitāra inspekcija
organization	Valsts farmācija inspekcija
organization	Valsts darbs inspekcija
organization	Latvija Pārtika centrs
organization	Sociāla palīdzība fonds
organization	Daugavpils psihoneiroloģisks slimnieks rehabilitācija centrs
organization	Rīga psihoneiroloģisks slimnieks rehabilitācija centrs
organization	VSIA " Tehnisks palīglīdzeklis centrs "
organization	Tehnisks palīglīdzeklis centrs
organization	Medicīniski bioloģiska un ekoloģisks pētījums centrs
organization	VU " Strenči "
organization	Latvija onkoloģija centrs
organization	Daugavpils onkoloģiska slimnīca
organization	Liepāja onkoloģiska slimnīca
organization	Narkoloģija centrs
organization	Jelgava narkoloģiska slimnīca
organization	Rindzele narkomāns rehabilitācija centrs
organization	Daugavpils narkoloģiska slimnīca
organization	Straupe narkoloģiska slimnīca
organization	Liepāja narkoloģiska slimnīca
organization	Rīga narkomānija slimnieks rehabilitācija centrs
organization	Veselība veicināšana centrs
organization	Latvija infektoloģija centrs
organization	Valsts sociāla apdrošināšana aģentūra
organization	Slimnīca " Linezers "
organization	Psihiatrija centrs
organization	Liepāja psihoneiroloģiska slimnīca
organization	Jelgava psihoneiroloģiska slimnīca " Ģintermuiža "
organization	Daugavpils psihoneiroloģiska slimnīca
organization	Strenči psihoneiroloģiska slimnīca
organization	Vecpiebalga psihoneiroloģiska slimnīca
organization	Traumatoloģija un ortopēdija slimnīca
organization	Valsts zobārstniecība centrs
organization	Dzelzceļš slimnīca " Biķernieki "
organization	Valsts obligāta veselība apdrošināšana aģentūra
organization	Zāle cena aģentūra
organization	Patoloģija centrs
organization	Seksuāli transmisīva un āda slimība centrs
organization	Bērns slimnīca " Gaiļezers "
organization	Bērns psihoneiroloģiska slimnīca " Ainaži "
organization	Aknīste psihoneiroloģiska slimnīca
organization	Sociāla aprūpe centrs " Ezerkrastis "
organization	P. Stradiņa klīniska universitāte slimnīca
organization	Bērns klīniska universitāte slimnīca
organization	Sports medicīna centrs
organization	Nodarbinātība valsts dienests
organization	Medicīna profesionāla izglītība centrs
organization	Valsts rezerve centrāla medicīna iekārta bāze
organization	Latvija Medicīna akadēmija
organization	Medicīna zinātniska bibliotēka
organization	P. Stradiņs Medicīna vēsture muzejs
organization	Latvija eksperimentāla un klīniska medicīna institūts
organization	Bērns bārenis aprūpe centrs
organization	Tiesa ekspertīze zinātniska pētniecība laboratorija
organization	Bēglis apelācija padome
organization	Naturalizācija pārvalde
organization	Patents valde
organization	Totalitārs režīms noziegums izvērtēšana komisija
organization	Uzņēmums reģistrs
organization	Valsts zeme dienests
organization	Ieslodzījums vieta pārvalde
organization	Dati valsts inspekcija
organization	Reliģiska lietus pārvalde
organization	Valsts valoda centrs
organization	Tiesa nams aģentūra
organization	Kriminoloģisks pētījums centrs
organization	Patents tehniska bibliotēka
organization	Vide valsts inspekcija
organization	Latvija Vide aģentūra
organization	Valsts hidrometeoroloģija pārvalde
organization	Latvija vide aizsardzība fonds
organization	Daugavpils reģionāls vide pārvalde
organization	Jelgava reģionāla vide pārvalde
organization	Lielrīga reģionāla vide pārvalde
organization	Liepāja reģionāla vide pārvalde
organization	Madona reģionāla vide pārvalde
organization	Rēzekne reģionāla vide pārvalde
organization	Valmiera reģionāla vide pārvalde
organization	Ventspils reģionāls vide pārvalde
organization	Jūra vide pārvalde
organization	Slītere nacionāls parks administrācija
organization	Teiči daba rezervāts administrācija
organization	Valsts būvinspekcija
organization	Valsts ģeoloģija dienests
organization	Ķemeri nacionāls parks administrācija
organization	Ziemeļvidzeme biosfēra rezervāts administrācija
organization	Ietekme uz vide novērtējums valsts birojs
organization	K. Ulmaņs piemiņa muzejs " Pikša "
organization	Lauksaimniecībs tehnika muzejs " Kalējs "
organization	Rīga Motormuzejs
organization	Ojārs Vācietis memoriālais muzejs
organization	Andrejs Upīšs memoriālais muzejs
organization	Sanitāra robežinspekcija
organization	Valsts veterinārs dienests
organization	Valsts zivsaimniecība pārvalde
organization	Valsts mežs dienests
organization	Ciltsdarbs valsts inspekcija
organization	Valsts augs aizsardzība dienests
organization	Augkopība produkcija kvalitāte valsts kontrole dienests
organization	Lauks atbalsts dienests
organization	Latvija Valsts augs aizsardzība centrs
organization	VU " Meliorprojekts "
organization	Lauksaimniecība tehnika sertifikācija un testēšana centrs
organization	Agroķīmisks pētījums centrs
organization	Valsts tehniska uzraudzība inspekcija
organization	Valsts ciltsdarbs informācija dati apstrāde centrs
organization	Lauks attīstība fonds
organization	Lauksaimniecība tirgus intervence aģentūra
organization	Latvija valsts mežs
organization	Lauksaimnieks centrs
organization	Valsts Dobele dārzkopība selekcija un izmēģinājums stacija
organization	Latvija Valsts agrāra ekonomika institūts
organization	Latvija Daba muzejs
organization	VSIA " Reaktors "
organization	VSIA " Teritorija attīstība plānošana centrs "
organization	VSIA " Vide investīcija fonds "
organization	VSIA " Vide projekts "
organization	Valsts aizsargāt lībieša kultūrvēsturiska teritorija " Līvod rānda " direkcija
organization	Gauja nacionāls parks administrācija
organization	Latvija Tūrisms attīstība aģentūra
organization	Valsts Malnava lauksaimniecība tehnikums
organization	Valsts Kandava lauksaimniecība tehnikums
organization	Valsts Priekuļi lauksaimniecība tehnikums
organization	Valsts Saulaine lauksaimniecība tehnikums
organization	Vecbebri tehnikums
organization	Višķi tehnikums
organization	Jēkabpils agrobiznesa koledža
organization	Īpašs uzdevums ministrs sadarbība ar starptautiska finansa institūcija sekretariāts
organization	Īpašs uzdevums ministrs valsts reforma lieta sekretariāts
organization	Pašvaldība lietus pārvalde
organization	Valsts administrācija skola
organization	Valsts civildienests pārvalde
organization	Latvija attīstība aģentūra
organization	Valsts jaunatne iniciatīva centrs
organization	Šķēps mešana metodisks centrs
organization	Rīga arodizglītība iestāde Centralizēt grāmatvedība
organization	Latvija Sports muzejs
organization	Latvija Jaunatne sports centrs
organization	Jaunatne basketbols metodisks centrs
organization	IZM Centralizēt grāmatvedība
organization	Ventspils starptautisks radioastronomija centrs
organization	Valsts teniss centrs " Lielupe "
organization	Rts Neorganiska ķīmija institūts
organization	Latvija Neredzīga bibliotēka
organization	Specializēts bērns sociāla aprūpe centrs
organization	Specializēts valsts sociāla aprūpe un rehabilitācija centrs
organization	Specializēts valsts sociāla aprūpe pansionāts
organization	Arodapmācība un rehabilitācija centrs " Alsviķi "
organization	Satiksme ministrija
organization	Civila aviācija administrācija
organization	Telekomunikācijas tarifs padome
organization	Dzelzceļš administrācija
organization	Dzelzceļš tehniska inspekcija
organization	Valsts informācija tīkls aģentūra
organization	Latvija valsts elektrosakars inspekcija
organization	Latvija pasts
organization	Latvija valsts radio un televīzija centrs
organization	Latvija Jūra administrācija
organization	Ceļš satiksme drošība direkcija
organization	Latvija Autoceļš direkcija
organization	Vas " Centrāla reģions ceļš "
organization	Vas " Kurzeme ceļš "
organization	Vas " Vidzeme ceļš "
organization	Vas " Latgale ceļš "
organization	Vas " Starptautiska lidosta " Rīga " "
organization	Vas " Latvija gaiss satiksme "
organization	Vide aizsardzība
organization	Latvija meiorācija un zemkopība muzejs
organization	Latvija Ugunsdzēsība muzejs
